Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
toubib,aa,doctor,2,c,,,,
toubibs,aa,toubib infl,2,c,,,,
clebs,aa,dog/homeless,"1,6",c,,,,
club,en,"nightclub, gp of ppl, or weapon","1,4,5",c,c,,,
clubs,en,club infl,"1,4,5",c,c,,,
kitsch,de,tacky,8,c,,c,,
boss,en,boss,2,c,c,,,
ratchet,ve,tool/weapon/ghetto,"4,8",c,,c,,
michto,rm,gold digger,"1,8",c,,c,,
michtos,rm,michto inf,"1,8",c,,c,,
wesh,aa,"dude, yo",8,c,,,,c
kiff,ma,cool/smoke,"3,8",c,,,,
kiffes,ma,kiffer inf,"3,8",,c,,,
kiffais,ma,kiffer inf,"3,8",,c,,,
kiffent,ma,kiffer inf,"3,8",,c,,,
kiffé,ma,kiffer inf,"3,8",,c,c,,
go,bb,girl/girlfriend (also japanese board game),1,c,,,,
gos,bb,go inf,1,c,,,,
god,en,god,8,c,,,,c
suis calé,ofs,to be chilling,8,,c,,,
est calé,ofs,cale inf,8,,c,,,
est calée,ofs,cale inf,8,,c,,,
sont calés,ofs,cale inf,8,,c,,,
plug,ve,drug dealer,"3,7",c,,,,
package,en,"set of goods, or male genitals","4,7,8",c,,,,
plugs,ve,drug dealer,"3,7",c,,,,
je wanda,ofs,I wonder,8,,,,,
weed,en,marijuana,3,c,,,,
badman,jmc,non-law abiding person,1,c,,,,
djal,ofs,girlfriend/boyfriend,2,c,,,,
hola,es,hello/also spectator wave at sporting event,"8,9",c,,,,c
fissa,ar,to do something quickly,8,,,,,c
lover,en,emotional man,1,c,,,,
beautiful,en,beautiful,8,,,c,,
money,en,money,4,c,,c,,
love,en,love,9,c,c,,,
bodyguard,en,bodyguard,"2,6",c,,,,
bounce,ve,"drugs, sex or bounce","3,7,8",,c,,,
boyfriend,en,boyfriend,8,c,,,,
girlfriend,en,girlfriend,8,c,,,,
brother,en,brother,"1,8",c,,,,c
brothers,en,brother inf,"1,8",c,,,,c
daddy,en,daddy,"6,7,8",c,,,,c
dangerous,en,dangerous,"6,9",,,c,,
dirty,en,dirty,"6,7,9",,,,,
dream,en,dream,9,c,,,,
dreams,en,dream inf,9,c,,,,
drunk,en,drunk,3,,,c,,
easy,en,easy,8,,,c,,
fade,en,"disappear, haircut","4,6,8",c,,,,
feeling,en,feeling,9,c,,,,
feelings,en,feeling inf,9,c,,,,
happy,en,happy,9,,,c,,
hate,en,hate,6,c,,,,
haters,en,hate inf,6,c,,,,
mother,en,mother,9,c,,,,
murder,en,murder,6,c,c,,,
murda,ve,murder spelling,6,c,c,,,
please,en,please,8,,,,,c
shoes,en,shoes,4,c,,,,
woman,en,woman,8,c,,,,
opps,ve,opposition,6,,,,,
zbeul,aa,a racket (noise),6,c,,,,
ass,en,butt,"7,8",c,,,,
hass,ar,difficult situation,6,c,,,,
squirt,en,female ejaculate,7,,c,,,
bando,ve,trap house,3,c,,,,
bendo,ve,bando spelling,3,,,,,
muay-thaï,thi,thai kickboxing,6,c,,,,
beef,ve,conflict,"3,6",c,,,,
chicken,en,chicken,"3,6",c,,,,
chickens,en,chicken inf,"3,6",c,,,,
steak,en,steak,3,c,,,,
steaks,en,steak inf,3,c,,,,
bitch,en,bitch,"1,7",c,,,,c
banger,en,good song,10,c,,,,
bangerz,ve,banger spelling,10,c,,,,
bitches,en,bitch inf,"1,7",c,,,,
bullshit,en,bullshit,8,c,,,,c
bullshits,en,bullshit inf,8,c,,,,
doggy,en,doggy style,7,c,,,,
freaky,en,sexually deviant,"7,8",,,c,,
freakey,en,freaky spelling,"7,8",,,c,,
fresh,ve,fashionable,"4,8",,,c,,
grind,en,sexual dance or hard work,"6,7",c,,,,
grinder,en,grind inf,"6,7",c,c,,,
juicy,en,"thick, exciting","7,8",,,c,,
loser,en,loser,"1,8",c,,,,
perfect,en,perfect,9,c,,c,,
smack,en,smack,"6,7",c,c,,,
smoke,en,smoke,"3,6",c,c,,,
trash,en,trash,"4,8",c,,,,
twerk,ve,twerk,7,c,c,,,
twerker,ve,twerk inf,7,,c,,,
twerke,ve,twerk inf,7,,c,,,
twerkent,ve,twerk inf,7,,c,,,
vibe,ve,certain aura,8,c,,,,
vibes,ve,vibe inf,8,c,,,,
bro,en,bro,8,c,,,,c
bros,en,bro inf,8,c,,,,c
cap,ve,"not true, hat","4,8",c,,,,c
crib,ve,house,5,c,,,,
dab,ve,dance move,10,c,,,,
finna,ve,about to,9,,c,,,
fuck,en,fuck,"7,8",c,c,,,c
fucking,en,fuck inf,"7,8",c,c,,,
fucked,en,fuck inf,"7,8",,c,,,
bomb,en,weapon or awesome,"6,8",c,,c,,
bombe,it,weapon,6,c,c,,,
gang,ve,group of ppl or gang,6,c,,,,c
gangs,ve,gang inf,6,c,,,,
kidnapper,en,kidnap,6,,c,,,
kidnappe,en,kidnap inf,6,,c,,,
hood,ve,the neighborhood,6,c,,,,
nigga,ve,"sometimes derogatory, but also sometimes like ""bro""",1,c,,,,c
niggas,ve,niggas inf,1,c,,,,
freestyle,ve,freestyle (mostly in musical sense),10,c,,,,
freestyles,ve,freestyle inf,10,c,,,,
fleek,ve,"nice, esp w ""on""",8,c,,,,c
pimp,ve,prostitute escort,2,c,,,,
chill,en,"calm, chill out","3,7,8",,c,c,,
junkie,en,junkie,"1,3",c,,,,
junkies,en,junkie inf,"1,3",c,,,,
ho,ve,whore,"1,7",c,,,,
hoe,ve,ho spelling,"1,7",c,,,,
shawty,ve,woman of interest,1,c,,,,
shorty,ve,shawty spelling,1,c,,,,
skrrt,ve,tires slipping,8,,,,,c
skrt,ve,skrrt spelling,8,,,,,c
swag,en,"confidence, swagger",8,c,,c,,c
thug,ve,gangster,6,c,,c,,c
thugs,ve,thug inf,6,c,,,,
trap,ve,"mouth, drug, music","3,10",c,,,,
wap,ve,wet ass pussy,7,c,,,,
pussy,en,vagina,7,c,,,,c
yo,ve,greeting/exclamation,8,,,,,c
hijo,es,son,8,c,,,,
hashish,ar,powdered hemp leaves,3,c,,,,
haschich,ar,hashish spelling,3,c,,,,
haschisch,ar,hashish spelling,3,c,,,,
baroud,ar,raid,6,c,,,,
bezef,ar,much/many,8,,,,c,
bézef,ar,bezef spelling,8,,,,c,
boujee,ve,bourgeoise,"1,8",,,c,,
bled,ar,place/town of origin,5,c,,,,
bougie,aa,candle,4,c,,,,
cafard,ar,cockroach,"6,9",c,,,,
cafards,ar,cafard inf,"6,9",c,,,,
caïd,ar,chief of a mob/tiger,6,c,,,,
caïds,ar,caïd inf,6,c,,,,
calife,ar,caliph,9,c,,,,
imam,ar,prayer leader in islam,2,c,,,,
carmin,ar,carmine,9,c,,c,,
crari,rm,you're pretending,8,c,,,,c
chouïa,ar,a little,8,,,,c,
flouze,ar,money,4,c,,,,
flouz,ar,flouze spelling,4,c,,,,
hammam,ar,bathroom,5,c,,,,
jdid,ma,new,9,,,c,,
oued,ar,wadi (north african valley),5,c,,,,
harem,ar,sacred area,5,c,,,,
henné,ar,henna,9,c,,,,
khenez,brb,bad quality,9,c,,,,
laiton,ar,brass,4,c,,,,
lascar,pr,soldier,6,c,,,,
lascars,pr,lascar inf,6,c,,,,
maboule,ar,crazy/mad,8,,,c,,
marabout,ar,marabout (north african),1,c,,,,
marabouté,ar,marabout inf,"1,9",,c,c,,
matraque,ar,truncheon,6,c,,,,
récif,ar,reef,5,c,,,,
nouba,ar,party,9,c,,,,
salamalec,ar,short for salam alaikum,8,,,,,c
smala,ar,posse/family/entourage,6,c,,,,
souk,ar,mess/chaos or market dep context,6,c,,,,
kiffer,ma,to like/smoke,"3,8",,c,,,
allah,ar,god,8,c,,,,
bismillah,ar,in the name of god,8,,,,,c
wallah,ar,I swear to god,8,,,,,c
mashallah,ar,what god has willled!,8,,,,,c
mash'allah,ar,mashallah spelling,8,,,,,c
inshallah,ar,god willing,8,,,,,c
insh’allah,ar,inshallah spelling,8,,,,,c
inch’allah,ar,inshallah spelling,8,,,,,c
hamdoullah,ar,"(short for alhamdulillah), thank god",8,,,,,c
hamdoulah,ar,hamdoullah spelling,8,,,,,c
haram,ar,prohibited/forbidden,9,,,c,,
hagra,ar,"humiliation, wicked, gratutious action","6,8",c,,,,
habibi,ar,my dear,8,c,,,,c
habiba,ar,habibi inf,8,c,,,,c
salam,ar,hello/peace,8,,,,,c
khalass,ar,to kill,6,,c,,,c
khaliss,ar,khalass spelling,6,,c,,,c
khalis,ar,khalass spelling,6,,c,,,c
